secuencial;anyo;mes;nombre_mes;dia_semana;nombre_dia_semana;hora;cod_provincia;nombre_provincia;cod_municipio;nombre_codigo_municipio;isla;nombre_isla;zona;nombre_zona;zona_agrupada;nombre_zona_agrupada;carretera;km;sentido_1f;nombre_sentido;titularidad_via;nombre_titularidad_via;tipo_via;nombre_tipo_via;tipo_accidente;nombre_tipo_accidente;total_mu24h;total_hg24h;total_hl24h;total_victimas_24h;total_mu30df;total_hg30df;total_hl30df;total_victimas_30df;total_vehiculos;tot_peat_mu24h;tot_bici_mu24h;tot_ciclo_mu24h;tot_moto_mu24h;tot_tur_mu24h;tot_furg_mu24h;tot_cam_menos3500_mu24h;tot_cam_mas3500_mu24h;tot_bus_mu24h;tot_otro_mu24h;tot_sinespecif_mu24h;tot_peat_mu30df;tot_bici_mu30df;tot_ciclo_mu30df;tot_moto_mu30df;tot_tur_mu30df;tot_furg_mu30df;tot_cam_menos3500_mu30df;tot_cam_mas3500_mu30df;tot_bus_mu30df;tot_otro_mu30df;tot_sinespecif_mu30df;nudo;nombre_nudo;nudo_info;nombre_nudo_info;carretera_cruce;priori_norma;nombre_priori_norma;priori_agente;nombre_priori_agente;priori_semaforo;nombre_priori_semaforo;priori_vert_stop;nombre_priori_vert_stop;priori_vert_ceda;nombre_priori_priori_vert_ceda;priori_horiz_stop;nombre_priori_horiz_stop;priori_horiz_ceda;nombre_priori_horiz_ceda;priori_marcas;nombre_priori_marcas;priori_pea_no_elev;nombre_priori_pea_no_elev;priori_pea_elev;nombre_priori_pea_elev;priori_marca_ciclos;nombre_priori_marca_ciclos;priori_circunstancial;nombre_priori_circunstancial;priori_otra;nombre_priori_otra;condicion_nivel_circula;nombre_condicion_nivel_circula;condicion_firme;nombre_condicion_firme;condicion_iluminacion;nombre_condicion_iluminacion;condicion_meteo;nombre_condicion_meteo;condicion_niebla;nombre_condicion_niebla;condicion_viento;nombre_condicion_viento;visib_restringida_por;nombre_visib_restringida_por;acera;nombre_acera;trazado_planta;nombre_trazado_planta;latitud;longitud;geom
87635;2016;4;Abril;1;LUNES;13;42;Soria;0;;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;N-234;377.92;2;Descendente;1;Estatal;6;Carretera Convencional de calzada única;4;Por alcance                                        ;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;En intersección o nudo;2;En T o Y;;1;Sí;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;1;Nivel blanco;3;Mojado;1;Luz del día natural, solar;3;Lluvia débil;;;;;999;Sin especificar;998;No aplica;1;Recta;4.180.798;-277.337;POINT (-2.77337 41.80798)
4602;2016;11;Noviembre;1;LUNES;8;3;Alicante/Alacant;3140;Villena;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;A-31;172.9;2;Descendente;1;Estatal;3;Autovía;18;Salida de la vía por la derecha con vuelco         ;0;0;4;4;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;1;Nivel blanco;3;Mojado;2;Amanecer o atardecer, sin luz artificial;3;Lluvia débil;;;;;1;Buena visibilidad;998;No aplica;2;Curva señalizada;3.863.634;-0.8661389;POINT (-0.8661389 38.63634)
19041;2018;10;Octubre;7;DOMINGO;11;8;Barcelona;0;;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;B-502;2.6;4;Se desconoce;5;Otra;5;Carretera Convencional de doble calzada;9;Vuelco                                             ;0;0;2;2;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;6;Se desconoce;1;Seco y limpio;1;Luz del día natural, solar;1;Despejado;;;;;18;Se desconoce;998;No aplica;4;Se desconoce;4.152.499;240.441;POINT (2.40441 41.52499)
79447;2018;1;Enero;7;DOMINGO;9;36;Pontevedra;36057;Vigo;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;VG-20;12;1;Ascendente;1;Estatal;3;Autovía;17;Salida de la vía por la derecha con despeñamiento  ;0;0;4;4;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;1;Nivel blanco;3;Mojado;1;Luz del día natural, solar;3;Lluvia débil;;;;;1;Buena visibilidad;998;No aplica;3;Curva sin señalizar;4.223.136;-8.712.447;POINT (-8.712447 42.23136)
83588;2019;5;Mayo;4;JUEVES;7;39;Cantabria;0;;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;CA-132;0.5;2;Descendente;2;Autonómica;6;Carretera Convencional de calzada única;10;Caída                                              ;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;En intersección o nudo;4;Glorieta;;0;No;0;No;0;No;0;No;1;Sí;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;1;Nivel blanco;2;Con barro o gravilla suelta;1;Luz del día natural, solar;1;Despejado;;;;;1;Buena visibilidad;998;No aplica;2;Curva señalizada;433.823;-404.903;POINT (-4.04903 43.3823)
351;2019;1;Enero;1;LUNES;11;1;Araba/Álava;0;;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;AP-68;36.2;2;Descendente;1;Estatal;1;Autopista de peaje;6;Colisión contra obstáculo o elemento de la vía     ;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;1;Nivel blanco;3;Mojado;1;Luz del día natural, solar;2;Nublado;;;;;1;Buena visibilidad;998;No aplica;2;Curva señalizada;4.296.655;-287.244;POINT (-2.87244 42.96655)
77023;2021;8;Agosto;5;VIERNES;12;43;Tarragona;43148;Tarragona;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;T-11;16;4;Se desconoce;1;Estatal;3;Autovía;9;Vuelco                                             ;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;4;Glorieta;;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;1;Sí;999;Sin especificar;8;Otra;1;Luz del día natural, solar;1;Despejado;;;1;Viento fuerte;999;Sin especificar;998;No aplica;4;Se desconoce;4.111.866;124.533;POINT (1.24533 41.11866)
41179;2016;6;Junio;7;DOMINGO;18;17;Girona;17095;Lloret de Mar;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;C-63;3;4;Se desconoce;4;Municipal;5;Carretera Convencional de doble calzada;19;Salida de la vía por la derecha otro tipo          ;0;0;5;5;0;0;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;6;Se desconoce;1;Seco y limpio;1;Luz del día natural, solar;1;Despejado;;;;;18;Se desconoce;998;No aplica;4;Se desconoce;4.169.878;2.847.584;POINT (2.847584 41.69878)
38866;2021;7;Julio;3;MIÉRCOLES;20;23;Jaén;23038;Guardia de Jaén, La;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;N-323a;46.6;2;Descendente;1;Estatal;6;Carretera Convencional de calzada única;8;Atropello a animales                               ;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;1;Nivel blanco;1;Seco y limpio;1;Luz del día natural, solar;1;Despejado;;;;;12;Vegetacion o árboles;998;No aplica;1;Recta;3.774.816;-367.844;POINT (-3.67844 37.74816)
12990;2018;4;Abril;1;LUNES;21;8;Barcelona;8266;Cerdanyola del Vallès;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;B-30;7;4;Se desconoce;1;Estatal;1;Autopista de peaje;4;Por alcance                                        ;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;6;Se desconoce;1;Seco y limpio;6;Sin luz natural ni artificial;1;Despejado;;;;;18;Se desconoce;998;No aplica;4;Se desconoce;4.149.137;2.140.769;POINT (2.140769 41.49137)
